"","references","classes","attributes","packages","enum","datatypes","behaviour","expressions","imperative","uml","statemachine","class","workflow","component","interaction","Classes",".labelcount",".SCUMBLE"
"1565",8,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"978",123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1811",76,60,15,1,0,2,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3141",27,21,18,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0.0498614178763647
"1097",89,143,29,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2946",19,29,3,1,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1956",8,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1492",41,34,12,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"2924",18,40,8,10,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1729",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"263",20,33,3,2,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1944",138,137,21,1,2,0,0,1,0,0,1,0,0,0,0,0,2,0.00764351678989561
"225",123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0,3,0.0443811836692084
"2827",14,14,9,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"3101",1,33,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"11",146,96,39,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0.00764351678989561
"1359",51,35,3,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1232",1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"518",23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0.0498614178763647
"1286",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2383",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2004",437,227,92,1,13,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2298",140,103,53,1,0,33,0,1,1,0,0,0,0,0,0,1,3,0.225271940110016
"2435",12,19,3,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2675",0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2341",1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2460",1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1864",1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3496",123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0,3,0.0443811836692084
"714",26,27,13,1,3,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"3582",19,29,3,2,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3487",7,3,6,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"2200",0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2775",3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1975",19,26,8,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"929",9,14,8,1,0,4,0,0,0,1,0,1,0,0,0,1,3,0.311937931693722
"679",1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1659",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"501",41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"396",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3687",4,77,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3257",1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1479",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1759",123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1018",30,34,15,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1210",1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"839",34,40,11,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1779",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3246",34,33,27,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"779",20,31,8,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"3775",26,35,8,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"582",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2880",3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3145",179,246,406,1,13,4,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"40",0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3137",0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1930",1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"791",19,20,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0.0510770903606915
"343",23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0.0498614178763647
"1672",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2121",99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"69",46,17,18,1,0,2,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"1859",422,221,81,1,11,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1151",27,16,8,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0.194497660335869
"878",85,64,37,4,2,4,1,0,1,0,0,1,0,0,0,0,3,0.0443811836692084
"1001",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3680",46,33,8,1,0,0,0,1,1,0,0,0,0,0,0,1,3,0.225271940110016
"854",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1699",27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3396",41,31,9,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2684",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1601",41,227,16,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1352",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"259",37,36,13,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"2722",64,66,35,6,4,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1506",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3690",204,149,42,9,5,5,0,0,1,0,0,1,0,0,0,0,2,0.0248895024759473
"1968",99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"466",437,227,91,1,13,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"269",14,15,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0.305761702245161
"3283",19,36,15,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3053",83,40,58,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0.194497660335869
"2310",99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"246",480,247,106,1,13,4,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"906",1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"758",38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"881",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2279",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"386",46,40,12,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3009",63,53,24,1,1,1,0,0,0,0,0,1,0,0,0,1,2,0.305761702245161
"1445",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1852",37,36,13,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"2029",17,12,10,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"1637",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1366",2,49,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2937",59,67,28,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2354",0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"584",20,31,8,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1833",1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"120",62,77,33,1,12,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"62",41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2012",29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1,3,0.225271940110016
"97",38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"729",18,20,12,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"19",94,77,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"101",87,38,74,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0.194497660335869
"77",158,104,56,18,5,0,0,0,0,1,0,1,1,0,0,0,3,0.00104274925626879
"1689",57,51,25,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"673",27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"539",31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"641",1,33,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2404",98,59,26,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"3797",75,59,15,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3760",99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"817",437,227,91,1,13,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1416",8,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1693",1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3003",12,37,11,1,1,4,1,0,0,1,0,0,1,0,0,0,3,0.0483492707298333
"1539",88,54,34,3,8,7,0,0,0,1,0,1,0,0,0,0,2,0.00108225139932416
"982",34,41,4,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2112",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1193",46,45,26,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3046",1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2848",29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1,3,0.225271940110016
"2296",125,111,41,1,7,3,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"2592",19,36,15,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3630",30,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1043",90,81,23,10,14,0,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"350",106,84,26,18,3,0,0,0,0,0,0,1,1,0,0,0,2,0.0012801726284466
"166",204,149,42,8,5,5,0,0,1,0,0,1,0,0,0,0,2,0.0248895024759473
"215",4,198,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3150",12,33,8,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3522",168,120,61,23,5,0,0,0,0,1,0,1,1,0,0,0,3,0.00104274925626879
"2161",99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1310",0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1789",123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0,3,0.0443811836692084
"3534",64,89,36,1,4,0,0,1,0,0,0,0,0,0,0,1,2,0.238359664933638
"521",43,30,44,1,1,8,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"2390",12,12,11,3,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"3284",29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1,3,0.225271940110016
"1927",41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2314",193,141,43,8,5,5,0,0,1,0,0,1,0,0,0,0,2,0.0248895024759473
"2891",32,26,3,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2091",1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"715",123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1437",0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2858",96,82,26,10,16,0,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"1020",53,27,26,1,1,4,0,0,0,1,0,1,0,0,0,0,2,0.00108225139932416
"2392",23,36,12,4,3,0,0,1,0,0,0,0,0,0,0,1,2,0.238359664933638
"3364",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"22",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1231",75,59,15,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"682",1,33,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1023",128,88,24,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0.00764351678989561
"3020",30,40,13,4,3,0,0,1,0,0,0,0,0,0,0,1,2,0.238359664933638
"3621",98,80,17,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"589",99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3761",64,58,11,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1803",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2626",99,80,17,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1605",3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3535",13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"2721",88,56,17,1,2,0,0,0,1,0,0,0,0,0,0,1,2,0.194497660335869
"535",96,148,23,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"432",1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2268",14,15,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"487",27,21,18,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0.0498614178763647
"1493",63,52,24,1,1,1,0,0,0,0,0,1,0,0,0,1,2,0.305761702245161
"3063",24,31,9,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1528",1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1400",1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1639",206,145,42,9,5,5,0,0,1,0,0,1,0,0,0,0,2,0.0248895024759473
"1867",22,22,2,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0.0510770903606915
"2787",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3413",123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1719",38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"587",51,35,3,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3102",157,116,97,11,0,1,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"1757",1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"509",85,64,37,4,2,4,1,0,1,0,0,1,0,0,0,0,3,0.0443811836692084
"616",12,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"951",89,76,16,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1411",1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1315",10,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"3067",39,41,10,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1826",1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2832",90,78,14,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0.00764351678989561
"2061",0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2618",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"55",99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"831",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1368",1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"609",1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1121",13,38,10,1,1,4,1,0,0,1,0,0,1,0,0,0,3,0.0483492707298333
"2304",38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2895",28,31,4,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"280",58,23,36,1,0,33,1,0,0,0,1,0,0,0,0,1,3,0.234306481238719
"1616",99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"905",3,67,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1530",3,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3318",3,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"1429",1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"294",27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1447",65,51,28,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"1725",30,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"248",0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1205",25,20,8,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"160",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1454",26,31,5,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"2932",150,112,50,1,1,0,0,1,1,0,0,0,0,0,0,1,3,0.225271940110016
"1847",40,23,7,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"2543",1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2709",30,31,6,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2230",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1318",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1555",3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1733",3,113,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2772",42,23,12,1,0,2,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"1155",1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2579",22,28,10,1,2,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2142",1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3025",1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"483",3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1187",17,22,4,1,0,3,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"1465",1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
